fin	feature	left_context	kwic	right_context
szeretne	intervening		Meg szerette volna valahogy kerülni	ezt a procedúrát.
szeretne	intervening		Meg szerette volna mondani	a papnak: milyen szépen tud prédikálni.
szeretne	intervening		Ott szeretett volna élni	.
szeretne	intervening		Vissza szeretnék térni	a privatizációs kérdésekre.
szeretne	intervening		Vissza szeretnék utalni	Gyárfás Ildikó felszólalására.
szeretne	intervening		Ki szeretnék emelni	két dolgot ebből a szembekerülésből.
szeretne	intervening		Vissza szeretném vonni	a 27,.
szeretne	intervening		Vissza szeretnék térni	Mánya Kristóf hozzászólására a regionalitás kérdésében.
szeretne	intervening		Fel szeretném hívni	a figyelmet a sajtó nagyfokú felelősségére ebben a kérdésben.
szeretne	intervening		Ott inkább büszkék szeretnének lenni	erre a fővárosra.
szeretne	intervening		Vissza szeretnék térni	a vizsgálóbizottsági javaslatra.
szeretne	intervening		Vissza szeretnék térni	a Fővárosi Önkormányzat tartalékaihoz.
szeretne	intervening		Meg szeretném védeni	az ingyenes használatbavételt elméleti oldalról.
szeretne	intervening		Ki szeretném cserélni	a jelenlegi zöld bugyit kékre.
szeretne	intervening		Meg egyszer szeretnek gratulalni	nektek.
szeretne	intervening		El szeretné adni	.
szeretne	intervening		Vissza szeretnék térni	a többi ( pukkantós radiátor:)) -re is.
szeretne	intervening		Át szeretnénk utalni	az összegyűjtött összeget.
szeretne	intervening		Be szeretnék tenni	tízezer forintot.
szeretne	intervening		Össze szeretném kötni	a WD live stream media lejátszóra és amikor filmet nézünk akkor ez szólna.
szeretne	intervening		El szeretné nyerni	a tetszésedet.
szeretne	intervening		Meg szeretném venni	.
szeretne	intervening	-	El szeretném adni	a szalont.
szeretne	intervening		Meg szeretnénk találni	és biztonságban tudni.
szeretne	intervening		Ki szeretnék maradni	adszolut a választási őrületekből.
szeretne	intervening		Be szeretnék tenni	tízezer forintot.
szeretne	intervening		Fel szerette volna venni	a versenyt a híres európai borokkal.
szeretne	intervening		Meg szerettem volna nézni	a Chagall-Ámos kiállítást.
szeretne	intervening		Be szeretném mutatni	nektek a xeroX szervereket.
szeretne	intervening		Be szeretném mutatni	a SAMP RPG szerverünket.
szeretne	intervening		Vissza szerettem volna állítani	a gyári beállításokat.
szeretne	intervening		Le szeretném cserélni	one x em gyári rom-ját.
szeretne	intervening		Meg szeretném nézni	hány kutyabarát van.
szeretne	intervening		Meg szeretnék felelni	.
szeretne	intervening		Ide szeretnék költözni	: BP.
szeretne	intervening		Meg szeretnék még egy két fogalmat tisztázni	.
szeretne	intervening		Le szeretném szerelni	a belső visszapillantó tükröt.
szeretne	intervening		Ki szeretnék javítani	.
szeretne	intervening		Meg kit szeretne látni	miniszterelnökként.
szeretne	intervening		Meg szerettem volna kérdezni	magától valamit.
szeretne	intervening		El szeretném hinni	hogy így lesz ha Önök kerülnek hatalomra.
szeretne	intervening		Meg szeretnék győződni	hogy jó választás lesz.
szeretne	intervening		Meg szeretem volna tanulni	angolul..
szeretne	intervening		Fel szeretnénk tölteni	az oldalra.
szeretne	intervening		Vissza szeretnék találni	a tiszta forráshoz.
szeretne	intervening		Meg szeretnénk mutatni	a vérbosszú kultúrtörténeti vonásait.
szeretne	intervening		Ott méltóképpen szeretnék a vendégeket fogadni	.
szeretne	intervening		Ott szeretnék búcsúzni	.
szeretne	intervening		Meg szeretném köszönni	az ukrán népnek a támogatást és a győzelmet.
szeretne	intervening		Vissza szerettük volna szerezni	a Pozsonyban elveszített pontot.
szeretne	intervening		Meg szeretnénk jegyezni	két és fél problémát az előterjesztéssel kapcsolatban.
szeretne	intervening		Fel szeretném hívni	még végezetül a figyelmüket az iskolarendszeren kívüli szakképzéssel kapcsolatos törvénymódosításra.
szeretne	intervening		Ki szeretném emelni	a Házat Hazát Alapítvány számára benyújtott költségvetési támogatásunk elutasítását.
szeretne	intervening		Meg szeretném köszönni	képviselőtársaimnak ezt a támogató egyetértést a határozati javaslattal összefüggésben.
szeretne	intervening		Föl szeretném még hívni	befejezésül a figyelmet ennek az egész kérdésnek a rendkívüli társadalmi érzékenységére.
szeretne	intervening		Meg szeretném édesíteni	utolsó óráidat....
szeretne	intervening		Le szeretném tenni	ezt a szörnyu nicket de hiába.
szeretne	intervening		Meg szeretnénk határozni	egy működőképes gazdasági rendszer körvonalait.
szeretne	intervening		Össze szeretné kötni	Szlovákia és Magyarország földgáz-vezetékeit és áramelosztó hálózatait a szlovák kormány.
szeretne	intervening		Meg szeretnénk ismerkedni	az elszakadt országrészekkel.
szeretne	intervening		Vissza szeretne térni	a civil életbe.
szeretne	intervening		Meg szeretném tartani	az eddigi egészségbiztosításomat.
szeretne	intervening		Le szeretnék fényképezni	és meg szeretnék interjúvolni az online játékokat játszókat.
szeretne	intervening		Be szeretnék tenni	tízezer forintot.
szeretne	intervening		Tovább szeretnék bővíteni-csinosítani	a határállomást is.
szeretne	intervening		Ott szerettem volna maradni	akkor.
szeretne	intervening		Ott szeretnék venni	egy kultúrkocsmát.
szeretne	intervening		Ki szeretnék cselezni	az időt.
szeretne	intervening		Meg akit be szeretne engedni	.
szeretne	intervening		Meg szeretném vigasztalni	.
szeretne	intervening		Le szeretnék fogyni	.
szeretne	intervening		Meg szeretné vásárolni	az orosz Lukoil az amerikai ConocoPhillips kelet-európai benzinkútjait.
szeretne	intervening	“	Meg szeretném érteni	az életemet.
szeretne	intervening		Meg szeretnének buktatni	.
szeretne	intervening		El szeretnék adni	az épületet és a területet.
szeretne	intervening		Meg szeretnénk oldani	ezt a problémát.
szeretne	intervening		Ki szeretnéd próbálni	magad: hogy vajon tudsz -e még hatni valakire.
szeretne	intervening		Meg szeretné védeni	a lányokat.
szeretne	intervening		Fel szerette volna számolni	a nacionalisták tebriszi főhadiszállását is.
szeretne	intervening		Meg szeretném még említeni	a légtechnikai rendszer passzív és aktív szerepét az épület tűzvédelmében.
szeretne	intervening		El szerettem volna menni	és a saját barátaimmal akartam játszani.
szeretne	intervening		Ott is szeretnénk állandóságra törekedni	.
szeretne	intervening		Meg szeretnénk ismerkedni	ugye az elszakadt országrészekkel.
szeretne	intervening		El szeretném mondani	az esetemet.
szeretne	intervening		Meg szeretnénk indítani	és meg szeretnénk pályázni ezt.
szeretne	intervening		Vissza szeretnék térni	Mucsi úrnak a gondolataira.
szeretne	intervening		Meg hát szeretnénk egy nyolcvan métert legalább húzni	.
szeretne	intervening		Meg még egy játékost szeretnénk igazolni	szélre.
szeretne	intervening		El szeretnénk törölni	a különbségeket és egyenlő esélyt adni a fiataloknak.
szeretne	intervening		Ki szeretném emelni	az ártatlan áldozatok emlékét.
szeretne	intervening		Meg szeretném mutatni	.
szeretne	intervening		Be szerettük volna hozni	Győrbe.
szeretne	intervening		Ott szeretnék tovább dolgozni	.
szeretne	intervening		Meg szeretném említeni	a Besztercei Majálist.
szeretne	intervening		Vissza szeretnék térni	Mucsi úrnak a gondolataira.
szeretne	intervening		Ki szeretnék menni	Németországba megtanulni beszélni németül.
szeretne	intervening		Le szeretném fotografálni	az elhantolást.
szeretne	intervening		Be szeretnék menni	a városba.
szeretne	intervening		Meg szeretném kérdezni	az előző napirendi pontnak...
szeretne	intervening		Fel szeretném hívni	a frakcióvezető úr figyelmét néhány tényre.
szeretne	intervening		Meg szeretnék állapodni	.
szeretne	intervening		Meg szeretném köszönni	a módosító indítványokat benyújtóknak a jó szándékukat.
szeretne	intervening		Fel szeretném hívni	egy mai cikkre a figyelmét.
szeretne	intervening		Össze szeretném foglalni	a gondolataimat.
szeretne	intervening		Ki szeretném emelni	a külügyi kormányzat munkáját az elmúlt hetvenegynéhány nap során.
szeretne	intervening		Ott szeretnék elkezdeni dolgozni	.
szeretne	intervening		Meg szeretném köszönni	az oppozícionálást.
fog	FIN INF		Fogod akkor te érteni	ezt az egész seint meg sollent...
fog	FIN INF	-	Fogok még sírni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogok tudni	?...
fog	FIN INF		Fogsz -e szépen aludni	?...
fog	FIN INF		Fog csinálni	képeket.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogsz te még jobban is sziszegni	.
fog	FIN INF		Fogsz te még jobban is sziszegni	.
fog	FIN INF		Fog ez menni	...
fog	FIN INF		Fog még az jajveszékelni	...
fog	FIN INF	-	Fog az még jajveszékelni	...
fog	FIN INF	-	Fogom kérni	az övét is.
fog	FIN INF		Fogok én verseket szerezni	majd a bécsi kuplerájokban...
fog	FIN INF		Fog örülni	a főorvos.
fog	FIN INF		Fog az illeni	a búzavirágkék szemedhez.
fog	FIN INF		Fog menni	...
fog	FIN INF		Fog menni	.
fog	FIN INF		Fog menni	...
fog	FIN INF		Fog örülni	a főorvos.
fog	FIN INF		Fogok én verseket szerezni	majd a bécsi kuplerájokban...
fog	FIN INF		Fogok állást kapni	.
fog	FIN INF		Fog adni	erőt is.
fog	FIN INF		Fogsz te még énekelni	.
fog	FIN INF		Fogod élvezni	.
fog	FIN INF		Fogok a tulajdonossal tárgyalni	.
fog	FIN INF		Fognak egyszer kopogni	az ajtón.
fog	FIN INF		Fogok majd szólni	a rendőrségnek.
fog	FIN INF		Fogod élvezni	.
fog	FIN INF		Fognak nekem örülni	.
fog	FIN INF	-	Fogom én még a Nefelejcs utca flaszterét taposni	...
fog	FIN INF	-	Fogom én még a Nefelejcs utca flaszterét taposni	...
fog	FIN INF		Fogok még nyögni	is.
fog	FIN INF		Fogunk még hallani	róla.
fog	FIN INF	-	Fog ez menni	.
fog	FIN INF		Fog az menni	.
fog	FIN INF		Fogsz te még előtte és a géppisztolya előtt állni	.
fog	FIN INF		Fog ez nekik menni	...
fog	FIN INF	-	Fogunk még sántikálni	eleget.
fog	FIN INF		Fog akarni	!...
fog	FIN INF		Fognak azok tejelni	.
fog	FIN INF		Fognak még rólam rosszat írni	.
fog	FIN INF		Fogok neki írni	nagyon komolyan és barátságosan.
fog	FIN INF		Fogok is pihenni	mihelyt elkezdhetem.
fog	FIN INF		Fogunk majd sétálni	a kertben.
fog	FIN INF		Fogunk egyszer lenni	szabadok!...
fog	FIN INF		Fogunk mi dolgozni	együtt.
fog	FIN INF		Fog az menni	.
fog	FIN INF		Fog ő még nyüszíteni	itt a küszöb előtt.
fog	FIN INF		Fog örülni	Draga.
fog	FIN INF		Fog örülni	Ron.
fog	FIN INF		Fogok erről még később konkrétan is beszélni	.
fog	FIN INF		Fogok erről majd részletesebben beszélni	.
fog	FIN INF		Fog ehhez kelleni	egy kis idő/hely.
fog	FIN INF		Fog ő még négykézláb könyörögni	egy kapsulláért.
fog	FIN INF		Fog még meglepetés érni	...
fog	FIN INF		Fogok kapni	a fejemre asszem rendesen...
fog	FIN INF		Fogsz még sírni	...
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fog ennek Kovács László örülni	...
fog	FIN INF		Fog még hallani	különbet is.
fog	FIN INF		Fognak tiltakozni	.
fog	FIN INF		Fogok kapni	ma egy melyvizet reklam helyett.
fog	FIN INF		Fog ez menni	...
fog	FIN INF		Fogom olvasni	szorgalmasan.
fog	FIN INF		Fogok én még érdekeseket mesélni	.
fog	FIN INF		Fogom vállalni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogok válaszolni	...
fog	FIN INF		Fog érdekelni	.
fog	FIN INF		Fogom pótolni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogsz mindenkivel találkozni	.
fog	FIN INF		Fogsz rá pár találatot kapni	.
fog	FIN INF		Fognak még hallani	felőlem...
fog	FIN INF		Fog jönni	.
fog	FIN INF		Fog ez még változni	.
fog	FIN INF		Fogsz még több ismerős arcot is látni	.
fog	FIN INF		Fogok neki programozni	.
fog	FIN INF		Fognak ezek még menekülni	a környezetükből.....
fog	FIN INF		Fogják hirdetni	a saját állatkís érlet-mentes mivoltukat is.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fog még az Intel ARM utasításkészletet támogatni	.
fog	FIN INF		Fog ez működni	.
fog	FIN INF		Fogjuk ezt mind tapasztalni	.
fog	FIN INF		Fog működni	a digitális kijelző?...
fog	FIN INF		Fogok csinálni	World Of Logs postot és linkelem is.
fog	FIN INF		Fog még neked fájni	...
fog	FIN INF		Fogunk még írni	erről.
fog	FIN INF		Fog játszani	még Lucky is aki a BM.sorozatban a társam.
fog	FIN INF		Fog még változni	.
fog	FIN INF		Fognak ők még meglepetést okozni	.
fog	FIN INF		Fogok én itt vitatkozni	...
fog	FIN INF		Fognak még egymás keblére borulni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogok kérni	még öt percet a következőkben.
fog	FIN INF		Fogunk még erről vitatkozni	rengeteget.
fog	FIN INF		Fogok jőni	oda es.
fog	FIN INF		Fogtok szeretni	.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fog ez menni	más topicban is.
fog	FIN INF		Fog ez menni	.
fog	FIN INF		Fogok jelentkezni	.
fog	FIN INF		Fognak majd vitatkozni	a ciánról is.
fog	FIN INF		Fogod élvezni	kettejük külön buliját.
fog	FIN INF		Fogunk érdekes dolgokat találni	...
fog	FIN INF		Fogsz néhány tippet hallani	a héten különböző befektetési lehetőségekről.
fog	FIN INF		Fogunk mi még ámulni	a maga kis bűnein a tévék előtt.
fog	FIN INF		Fogunk mi még egy csapatnál dolgozni	.
fog	FIN INF		Fogunk is vásárolni	.
fog	FIN INF		Fogunk énekelni	együtt is.
fog	FIN INF		Fogjuk érezni	a terhet.
fog	FIN INF		Fogunk erről még beszélni	.
fog	FIN INF		Fogunk egy édeset is készíteni	.
fog	FIN INF		Fogunk keresni	partnert hozzá.
fog	FIN INF		Fogunk menni	lovas szekéren vaddisznót nézni.
fog	FIN INF		Fogunk menni lovas szekéren vaddisznót nézni	.
fog	FIN INF		Fogunk majd vele foglalkozni	.
fog	FIN INF		Fogom ösztönözni	majd a helyieket ebben.
fog	FIN INF		Fogunk énekelni	együtt is.
fog	FIN INF		Fogunk tartani	itt egy hatvan kilós friss kolbászkészítési bemutatót.
fog	FIN INF		Fogunk tartani	itt egy 60 kilós friss kolbász készítési bemutatót.
fog	FIN INF		Fogunk tartani	itt egy hatvan kilós friss kolbászkészítési bemutatót.
fog	FIN INF		Fogunk még két alkalommal kutatást végezni	.
fog	FIN INF		Fogsz csodálkozni	.
fog	FIN INF		Fog működni	egy másik csapat.
fog	FIN INF		Fognak jönni	a szolnokiak és magyar népdalokat fog énekelni a két együttes.
fog	FIN INF		Fog benne szerepelni	az Országgyűlés előtt lévő költségvetési szabályokkal kapcsolatos törvényhozási folyamatban vállalt kötelezettségünk.
fog	FIN INF	-	Fogják mutogatni	.
fog	FIN INF		Fognak írni	egy felmérőt az eddig tanultakból.
fog	FIN INF		Fogjuk ezt a csapatot még látni	nagy meccseken bíráskodni.
fog	FIN INF		Fogom kérni	írásban.
fog	FIN INF		Fogok majd egy ilyen előterjesztést tenni	.
fog	FIN INF		Fogok kapni	egy 50-es levelet.
fog	FIN INF		Fogsz kapni	egy “ hozzáférési hiba “ üzenetet.
fog	INF FIN		Élni fog	a halhatatlanságban együtt az alakjaival.
fog	INF FIN	-	Szeretni fogjuk	egymást.
fog	INF FIN		Dedikálni fogok	.
fog	INF FIN		Hiányozni fogsz	.
fog	INF FIN		Dolgozni fogok	.
fog	INF FIN	-	Jelenteni fogom	az esetet...
fog	INF FIN		Kérni fogom	a felvételemet a balneológiai társaságba.
fog	INF FIN	-	Döcögni fog	.
fog	INF FIN		Kelleni fog	az útra egy kis pénz.
fog	INF FIN	-	Segíteni fogok	!...
fog	INF FIN	-	Segíteni fogok	!...
fog	INF FIN	-	Filmezni fogunk	.
fog	INF FIN		Reggelizni a felderítés után fogunk	.
fog	INF FIN		Szerződtetni fogod	Óriástüdejű Levegőfújót.
fog	INF FIN		Lesni fogja	a szavadat.
fog	INF FIN	-	Védekezni fogunk	.
fog	INF FIN	-	Élni fog	...
fog	INF FIN	-	Élni fog	...
fog	INF FIN		Imádkozni fogok	értetek.
fog	INF FIN		Imádkozni fog	szerencsés lebetegedéséért.
fog	INF FIN		Beszélni fogok	a püspökével.
fog	INF FIN		Beszélni fog	.
fog	INF FIN		Tudni fogom	: könyv nélkül.
fog	INF FIN		Mesélni fogok	.
fog	INF FIN		Dolgozni fogunk	holnap és holnapután.
fog	INF FIN		Hívni fogom	.
fog	INF FIN		Jajgatni fognak	a temetésén.
fog	INF FIN		Nevetni fogsz	.
fog	INF FIN		Örülni fog	neki.
fog	INF FIN		Örülni fognak	a verseknek.
fog	INF FIN	-	Ünnepelni fognak	.
fog	INF FIN	-	Igyekezni fogok	.
fog	INF FIN		Sietni fogok	.
fog	INF FIN		Permetezni fogok	.
fog	INF FIN		Látni fogja	a szikrázó kürtöket...
fog	INF FIN		Havazni fog	.
fog	INF FIN	-	Félni fogok	az ágyban.
fog	INF FIN		Szeretni fogod	a lányaimat.
fog	INF FIN		Ámulni fogtok	.
fog	INF FIN		Segíteni fog	.
fog	INF FIN	-	Szeretni fog	.
fog	INF FIN	-	Tudni fogod	.
fog	INF FIN		Hiányozni fogsz	.
fog	INF FIN		Győzni fogsz	.
fog	INF FIN	-	Menni fog	.
fog	INF FIN		Sikoltozni fog	.
fog	INF FIN		Sírni fog	.
fog	INF FIN		Menni fog	nekik a többi is.
fog	INF FIN	-	Látni fogod	.
fog	INF FIN	-	Havazni fog	.
fog	INF FIN	-	Emelni fogják	a fizetésemet.
fog	INF FIN		Sírni fog	.
fog	INF FIN		Hívni fogom	.
fog	INF FIN		Jajgatni fognak	a temetésén.
fog	INF FIN		Nevetni fogsz	.
fog	INF FIN		Örülni fog	neki.
fog	INF FIN		Örülni fognak	a verseknek.
fog	INF FIN	-	Ünnepelni fognak	.
fog	INF FIN	-	Igyekezni fogok	.
fog	INF FIN		Sietni fogok	.
fog	INF FIN		Permetezni fogok	.
fog	INF FIN	-	Dalolni fog	Csepel.
fog	INF FIN	-	Ordítani fogsz	.
fog	INF FIN	-	Fülelni fogok	.
fog	INF FIN		Nyüzsögni fognak	a zöld emberek.
fog	INF FIN		Szeretni fogjuk	.
fog	INF FIN		Bámulni fog	mindenki.
fog	INF FIN		Csodálkozni fogunk	.
fog	INF FIN	-	Fájni fog	.
fog	INF FIN	-	Ámulni fogsz	.
fog	INF FIN	-	Ordítani fogsz	.
fog	INF FIN	-	Figyelni fogok	.
fog	INF FIN		Igyekezni fogok	.
fog	INF FIN		Törni fogják	magukat a város polgárai.
fog	INF FIN		Győzni fog	itt a jó.
fog	INF FIN		Győzni fog	itt a jó.
fog	INF FIN		Kérni fogod	...
fog	INF FIN		Igyekezni fogok	.
fog	INF FIN		Dolgozni fogunk	...
fog	INF FIN		Beszélni fogok	itt.
fog	INF FIN	-	Szakítani fogok	az urammal.
fog	INF FIN		Emlékezni fog	a szavaimra.
fog	INF FIN	-	Szavalni fogok	.
fog	INF FIN	“	Örülni fog	.
fog	INF FIN		Gondoskodni fog	a hozzátartozók támogatásáról a nemzet minden áldozatkészségével.
fog	INF FIN	-	Számolni fogom	a perceket.
fog	INF FIN	-	Tántorogni fogok	.
fog	INF FIN	-	Örülni fog	.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Gondoskodni fog	a hozzátartozók támogatásáról a nemzet minden áldozatkészségével.
fog	INF FIN		Elhozni csak magam ruháimat fogom	.
fog	INF FIN		Sorolni inkább mást fogunk	majd róla.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Jelenteni fogom	őfelségének.
fog	INF FIN		Csöngetni fogsz	.
fog	INF FIN	-	Szeretni fogod	...
fog	INF FIN		Használni fog	.
fog	INF FIN		Igyekezni fogok	.
fog	INF FIN		Nevetni fogsz	...
fog	INF FIN		Örülni fog	neki.
fog	INF FIN		Szeretni fogom	.
fog	INF FIN		Szeretni fogja	.
fog	INF FIN	-	Vigyázni fog	a feleségére.
fog	INF FIN		Szeretni fogod	.
fog	INF FIN		Szeretni fogod	.
fog	INF FIN		Szeretni fogod	.
fog	INF FIN		Vigyázni fogok	magára.
fog	INF FIN		Ordítani fog	.
fog	INF FIN		Ordítani fog	.
fog	INF FIN		Örülni fog	magának...
fog	INF FIN	-	Késni fognak	.
fog	INF FIN	-	Örülni fog	magának.
fog	INF FIN		Örülni fog	a férje.
fog	INF FIN	-	Fürödni fogok	.
fog	INF FIN		Csöngetni fogsz	.
fog	INF FIN		Csöngetni fogsz	.
fog	INF FIN		Menni fog	a dolog.
fog	INF FIN		Dolgozni fognak	a kuratóriumok.
fog	INF FIN		Hányni fog	.
fog	INF FIN		Hányni fog	.
fog	INF FIN		Akarni fogok	a halálom árán is.
fog	INF FIN		Nevetni fogsz	...
fog	INF FIN		Örülni fog	neki.
fog	INF FIN	-	Horkolni fog	.
fog	INF FIN	-	Vigyázni fog	a feleségére.
fog	INF FIN		Örülni fog	a férje.
fog	INF FIN	-	Gondoskodni fogunk	róla.
fog	INF FIN		Kényszeríteni fognak	.
fog	INF FIN		Élni fogok	jogaimmal.
fog	INF FIN		Emlékezni fogok	.
fog	INF FIN		Sajnálni fogjuk	őket és küldetünk nekik megválaszolhatatlan részvéttáviratot.
fog	INF FIN		Érdekelni fogja	.
fog	INF FIN	-	Nyugdíjazni fogjuk	.
fog	INF FIN		Mocskolni fogsz	.
fog	INF FIN		Tetszeni fogsz	neki és nekem megteszi.
fog	INF FIN		Mérlegelni fogjuk	.
fog	INF FIN		Örülni fog	.
fog	INF FIN		Táncolni fog	.
fog	INF FIN		Szülni fog	neki...
fog	INF FIN		Gondolkozni fog	.
fog	INF FIN		Hintázni fogunk	.
fog	INF FIN		Sietni fogok	.
fog	INF FIN		Gondoskodni fogok	a felelősség kiderítéséről.
fog	INF FIN		Enyhülni fog	tőle a fejfájása.
fog	INF FIN		Keresni fogják	.
fog	INF FIN		Várni fog	.
fog	INF FIN		Igyekezni fogok	.
fog	INF FIN		Igyekezni fogok	csendben távozni.
fog	INF FIN		Enyhülni fog	tőle a fejfájása.
fog	INF FIN		Keresni fogják	.
fog	INF FIN		Vigyázni fogunk	mindenre.
fog	INF FIN		Fájni fog	.
fog	INF FIN		Csalni fog	...
fog	INF FIN		Sietni fogunk	.
fog	INF FIN		Bizonyítani fogom	.
fog	INF FIN		Szeretni foglak	.
fog	INF FIN		Imádni foglak	.
fog	INF FIN		Igyekezni fogok	...
fog	INF FIN		Csodálni fognak	.
fog	INF FIN		Imádkozni fogunk	.
fog	INF FIN		Szidni fogja	az anyámat is.
fog	INF FIN		Tüntetni fognak	az Odéon előtt.
fog	INF FIN		Tapsolni fognak	neki.
fog	INF FIN		Várni fog	.
fog	INF FIN		Szülni fog	neki...
fog	INF FIN		Igyekezni fogok	...
fog	INF FIN		Csodálni fognak	.
fog	INF FIN		Gondolkozni fog	.
fog	INF FIN		Imádni foglak	.
fog	INF FIN		Imádkozni fogunk	.
fog	INF FIN		Szidni fogja	az anyámat is.
fog	INF FIN		Örülni fog	.
fog	INF FIN		Táncolni fog	.
fog	INF FIN		Nyilatkozni fognak	a generációk.
fog	INF FIN		Kontesztálni fogja	az istenséget.
fog	INF FIN		Mérlegelni fogjuk	.
fog	INF FIN		Sietni fogunk	.
fog	INF FIN		Bizonyítani fogom	.
fog	INF FIN		Szülni fog	neki...
fog	INF FIN		Csalni fog	...
fog	INF FIN		Aludni fog	.
fog	INF FIN		Szülni fog	neki...
fog	INF FIN		Könnyezni fog	.
fog	INF FIN		Örvendeni fogok	.
fog	INF FIN		Jelenteni fogom	.
fog	INF FIN		Érdekelni fogja	nyilván a kormányzó urat is.
fog	INF FIN		Élni fogunk	.
fog	INF FIN		Csatolni fogjuk	.
fog	INF FIN		Felelni csak a rablók s gyilkosok fognak	...
fog	INF FIN		Bírni fogom	.
fog	INF FIN		Gondolni fogok	rájuk.
fog	INF FIN		Követni fog	.
fog	INF FIN		Ítélkezni fogok	.
fog	INF FIN		Érvényesülni fogsz	.
fog	INF FIN		Élvezni fogja	.
fog	INF FIN		Vállalni fogja	.
fog	INF FIN		Várni fogja	valaki.
fog	INF FIN		Tetszeni fog	neked is.
fog	intervening		Meg foglak ölni	.
fog	intervening	-	El foglak hagyni	.
fog	intervening	-	Meg fogom írni	azt a tanulmányt a mostohaapjáról.
fog	intervening		Meg fogjuk érteni	egymást újra.
fog	intervening	-	El foglak hagyni	.
fog	intervening		Bele fogok állni	a vasklozetba és lehúzom magamat.
fog	intervening		Össze fognak omlani	...
fog	intervening	“	Össze fogja roppantani	.
fog	intervening		Meg fogok halni	.
fog	intervening		Ki fogjuk olvasztani	.
fog	intervening	-	Meg fogod tudni	.
fog	intervening	-	Meg fogja nyugtatni	.
fog	intervening	-	Le fog esni	onnét.
fog	intervening	-	El fognak helyezni	innen.
fog	intervening		Ki fogják dobni	egy ilyen helikopterből.
fog	intervening		Össze is fogják szarni	magukat.
fog	intervening		Bele fog telni	két-három évbe.
fog	intervening	-	Be fogok mutatkozni	az öcsémnek.
fog	intervening		El foglak vinni	innen.
fog	intervening	-	El fognak helyezni	innen.
fog	intervening	-	Be fogok mutatkozni	az öcsémnek.
fog	intervening		Ki fog bújni	a szög a zsákból.
fog	intervening		Meg is fogom tartani	az ígéretemet.
fog	intervening		El fogjuk fűrészelni	a tuskót.
fog	intervening	-	Le fog esni	az álluk a Filmszövetségben.
fog	intervening		Meg is fogom tartani	az ígéretemet.
fog	intervening		El fogjuk fűrészelni	a tuskót.
fog	intervening		Vissza fogja állítani	a világ rendjét.
fog	intervening		Meg fogják érteni	egymást.
fog	intervening		Meg fog változni	az irodalom is.
fog	intervening		Ki fogja próbálni	...
fog	intervening		El fog menni	a sulinai Főpostára.
fog	intervening		Ki fogja használni	.
fog	intervening		Ott fogok sütkérezni	apám ( az apámok ) fényében.
fog	intervening		Le fogom enni	rajta.
fog	intervening		El fogom mondani	a születésnapot.
fog	intervening		El fogunk pusztulni	.
fog	intervening		El fogjuk tölteni	.
fog	intervening		Meg fog tagadni	.
fog	intervening		Le fog mondani	róllam.
fog	intervening		Föl fogom áldozni	magam.
fog	intervening		Ki fognak halni	.
fog	intervening		Meg fogom fenyíteni	.
fog	intervening		Fel fog robbanni	.
fog	intervening		El fogom mesélni	még barátaim bukását.
fog	intervening		Szét fogja osztani	birtokai nagyobb részét fiai között.
fog	intervening		Ki fogjuk köszörülni	a múlt csorbáit.
fog	intervening		El fogják küldeni	a mozgalom vezetőit.
fog	intervening		Ott fogok élni	a szülőfalumban...
fog	intervening		Meg fogja látni	őfelsége.
fog	intervening		Meg fog gyógyulni	.
fog	intervening		Meg fogja magát vizsgálni	.
fog	intervening		Meg fogom kérdezni	.
fog	intervening		Meg fogsz gyógyulni	...
fog	intervening		Meg fogsz gyógyulni	...
fog	intervening		Le fogom hunyni	a szememet...
fog	intervening		Meg fogom mondani	.
fog	intervening		El is fogok utazni	...
fog	intervening		El fog az most dőlni	...
fog	intervening		Meg fogom hozni	nektek azt az áldozatot is...
fog	intervening		Ki fogja törni	a nyakát annak az öregembernek...
fog	intervening		Meg fogjuk nyerni	érzelgős szívét.
fog	intervening		Meg fogja látni	.
fog	intervening		Meg fogja őket tréfálni	...
fog	intervening		El fogom adni	az ékszereimet....
fog	intervening		Meg fogom kezdeni	e napló sajtó alá rendezését végre is...
fog	intervening		Meg is fogom tenni	s ez jó lesz.
fog	intervening		Ki fogja őket szelidíteni	.
fog	intervening		Ki fognak csúfolni	.
fog	intervening		Le fogja sodorni	.
fog	intervening		Meg fogsz fizetni	érte.
fog	intervening		Át fogom adni	.
fog	intervening		Le fog bukni	.
fog	intervening	-	Ki fognak hallgatni	.
fog	intervening		Meg fogsz fizetni	érte.
